id,id_,per_num,add_time,age,level,country_id,town_id,village_id,income,out_poverty,status
1653,767456,1,2017,75,1,5.12E+11,5.12E+11,5.12E+11,2885,0,1
1654,958342,3,2015,68,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1655,1610763,4,2016,23,1,5.12E+11,5.12E+11,5.12E+11,2150,0,1
1656,980211,5,2017,18,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1657,900868,3,2014,70,1,5.12E+11,5.12E+11,5.12E+11,4656,0,1
1658,597515,5,2015,31,2,5.13E+11,5.13E+11,5.13E+11,3226,0,1
1659,35595,6,2014,65,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1660,262525,1,2016,40,1,5.13E+11,5.13E+11,5.13E+11,4600,0,1
1661,1455503,2,2014,77,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1662,527892,2,2016,44,0,5.11E+11,5.11E+11,5.11E+11,1250,0,1
1663,110201,2,2016,72,1,5.11E+11,5.11E+11,5.11E+11,5220,0,1
1665,1540148,5,2016,54,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1666,117976,3,2014,52,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1667,224621,5,2016,11,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1668,1682634,5,2017,10,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1669,1690534,2,2017,60,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1670,1442406,6,2015,16,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1671,558814,3,2016,57,1,5.12E+11,5.12E+11,5.12E+11,1713,0,1
1672,1658606,3,2016,17,1,5.12E+11,5.12E+11,5.12E+11,3566,0,1
1673,870368,5,2017,60,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1674,1678690,3,2014,54,1,5.11E+11,5.11E+11,5.11E+11,2187,0,1
1675,1382994,4,2017,14,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1676,1826834,2,2016,45,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1677,49330,5,2014,45,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1678,788025,2,2017,58,1,5.12E+11,5.12E+11,5.12E+11,5052,0,1
1679,1107460,5,2014,50,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1680,146009,3,2016,61,2,5.11E+11,5.11E+11,5.11E+11,2850,0,1
1681,641624,2,2016,36,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1682,1731054,2,2017,51,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1683,611098,4,2014,62,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1684,1526351,5,2016,78,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1685,1433534,4,2015,55,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1686,636184,5,2016,80,3,5.13E+11,5.13E+11,5.13E+11,1577,0,1
1687,135376,4,2014,50,2,5.11E+11,5.11E+11,5.11E+11,3352,0,1
1688,1353860,5,2017,41,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1689,421304,4,2014,68,1,5.12E+11,5.12E+11,5.12E+11,2282,0,1
1690,815281,2,2017,81,1,5.11E+11,5.11E+11,5.11E+11,9090,0,1
1691,725987,4,2017,49,1,5.12E+11,5.12E+11,5.12E+11,1570,0,1
1692,1119939,3,2014,53,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1693,689683,3,2016,49,3,5.13E+11,5.13E+11,5.13E+11,1401,0,1
1694,1591240,5,2014,45,1,5.12E+11,5.12E+11,5.12E+11,12251,0,1
1695,1546490,5,2017,17,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1696,1697185,5,2017,35,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1698,117622,6,2014,60,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1699,865302,3,2014,55,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1700,970050,6,2017,62,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1701,1858468,1,2017,71,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1702,525637,4,2016,27,0,5.11E+11,5.11E+11,5.11E+11,4427,0,1
1703,1864987,6,2017,47,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1704,1274745,3,2014,20,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1705,749277,2,2017,72,1,5.12E+11,5.12E+11,5.12E+11,2140,0,1
1706,1144185,4,2016,70,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1707,1279221,3,2014,71,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1708,1528934,2,2016,51,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1709,1324252,6,2014,42,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1710,1395937,6,2014,42,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1711,1376226,3,2017,26,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1712,1775798,3,2016,23,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1713,460911,2,2016,23,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1714,1244577,4,2014,18,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1715,710756,6,2014,40,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1716,459938,3,2016,43,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1717,1418326,5,2017,56,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1718,1266750,2,2017,51,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1719,169359,2,2017,64,2,5.11E+11,5.11E+11,5.11E+11,2368,0,1
1720,1491203,4,2014,31,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1721,1887379,7,2014,39,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1722,913466,5,2015,21,1,5.12E+11,5.12E+11,5.12E+11,1960,0,1
1723,472614,4,2016,83,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1724,1689879,3,2017,5,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1725,1202875,2,2016,73,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1726,462240,6,2014,41,1,5.13E+11,5.13E+11,5.13E+11,1753,0,1
1727,914673,4,2014,54,1,5.12E+11,5.12E+11,5.12E+11,3250,0,1
1728,1655751,1,2016,75,1,5.12E+11,5.12E+11,5.12E+11,4837,0,1
1729,464419,2,2016,24,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1730,86994,5,2015,49,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1731,1025711,2,2017,23,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1732,1743528,2,2017,66,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1733,805696,5,2017,66,1,5.13E+11,5.13E+11,5.13E+11,2775,0,1
1734,178761,3,2015,44,1,5.12E+11,5.12E+11,5.12E+11,2800,0,1
1735,191581,6,2017,42,3,5.13E+11,5.13E+11,5.13E+11,2366,0,1
1736,1877854,2,2017,63,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1737,1188948,2,2016,19,2,5.13E+11,5.13E+11,5.13E+11,2342,0,1
1738,427175,3,2016,53,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1739,809186,3,2014,40,1,5.13E+11,5.13E+11,5.13E+11,2666,0,1
1740,632365,2,2016,61,3,5.13E+11,5.13E+11,5.13E+11,2090,0,1
1741,906459,3,2014,29,1,5.12E+11,5.12E+11,5.12E+11,3827,0,1
1742,1886515,4,2014,37,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1743,765040,2,2017,70,1,5.12E+11,5.12E+11,5.12E+11,4780,0,1
1744,636903,5,2014,48,1,5.13E+11,5.13E+11,5.13E+11,4108,0,1
1745,954848,2,2014,47,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1746,1748270,3,2016,80,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1747,1775787,5,2016,36,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1748,1590097,2,2014,47,1,5.12E+11,5.12E+11,5.12E+11,1340,0,1
1749,1620334,4,2017,50,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1750,1240564,2,2014,65,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1751,33673,6,2014,37,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1752,363898,4,2016,60,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1753,74539,4,2014,9,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1754,769645,3,2017,80,1,5.12E+11,5.12E+11,5.12E+11,1666,0,1
1755,996157,3,2017,29,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1756,688611,7,2016,36,3,5.13E+11,5.13E+11,5.13E+11,2403,0,1
1757,1487701,4,2014,35,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1758,1382624,4,2017,41,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1759,1745890,1,2014,69,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1760,171260,3,2017,52,2,5.11E+11,5.11E+11,5.11E+11,2456,0,1
1761,592721,2,2017,82,3,5.11E+11,5.11E+11,5.11E+11,3130,0,-1
1762,1610379,5,2016,25,1,5.12E+11,5.12E+11,5.12E+11,2688,0,1
1763,1081308,6,2014,67,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1764,464450,4,2016,61,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1765,879463,3,2014,70,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1766,1111742,4,2014,43,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1767,102924,4,2016,55,1,5.11E+11,5.11E+11,5.11E+11,2372,0,1
1768,1687171,4,2017,16,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1769,625555,2,2016,67,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1770,545898,4,2014,51,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1772,1076388,5,2015,49,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1773,1783993,6,2017,61,1,5.12E+11,5.12E+11,5.12E+11,5864,0,1
1774,197255,2,2016,12,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1775,585369,2,2017,47,3,5.11E+11,5.11E+11,5.11E+11,2550,0,-1
1776,1548824,5,2017,48,1,5.12E+11,5.12E+11,5.12E+11,2800,0,1
1777,1105225,2,2014,70,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1778,1745564,2,2014,80,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1779,885821,3,2017,50,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1780,864987,4,2014,50,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1781,1412616,3,2016,54,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1782,840943,1,2016,84,2,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1783,1777356,5,2016,8,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1784,1167842,3,2017,24,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1785,1000907,4,2017,61,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1786,1341702,3,2017,41,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1787,29129,5,2014,72,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1788,1827572,4,2016,66,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1789,818991,8,2017,82,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1790,1762534,1,2016,70,1,5.12E+11,5.12E+11,5.12E+11,9260,0,1
1791,151132,5,2016,81,2,5.11E+11,5.11E+11,5.11E+11,2850,0,1
1792,20013,2,2016,82,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1793,472817,4,2016,53,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1794,447355,6,2016,16,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1795,1006029,2,2017,42,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1796,1357423,2,2017,63,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1797,212536,3,2016,20,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1798,1260511,2,2017,53,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1799,1063302,6,2015,5,1,5.12E+11,5.12E+11,5.12E+11,3416,0,1
1800,1199757,3,2016,54,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1801,1196078,5,2017,15,3,5.13E+11,5.13E+11,5.13E+11,2914,0,1
1802,967620,3,2017,44,1,5.12E+11,5.12E+11,5.12E+11,2600,0,1
1803,1098179,3,2014,92,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1804,1264999,2,2017,68,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1805,128116,4,2014,58,2,5.11E+11,5.11E+11,5.11E+11,2501,0,1
1806,65144,3,2014,75,2,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1807,1402198,4,2014,16,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1808,728810,2,2017,45,1,5.12E+11,5.12E+11,5.12E+11,2200,0,1
1809,1647121,3,2016,28,1,5.12E+11,5.12E+11,5.12E+11,3733,0,1
1810,1182763,3,2014,31,4,5.12E+11,5.12E+11,5.12E+11,2680,0,1
1811,1310037,4,2014,22,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1812,474013,2,2016,28,0,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1813,176917,2,2017,72,2,5.11E+11,5.11E+11,5.11E+11,1860,0,1
1814,1787586,4,2017,49,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1815,1174032,5,2016,42,2,5.13E+11,5.13E+11,5.13E+11,1010,0,1
1816,224005,4,2016,76,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1817,1403012,2,2014,75,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1818,1517047,1,2017,71,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1819,606364,1,2014,38,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1820,1740139,5,2014,10,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1821,1258014,3,2015,84,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,-1
1822,517996,3,2017,45,1,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1823,641841,2,2016,46,3,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1824,183964,8,2016,79,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1825,907445,1,2016,76,1,5.12E+11,5.12E+11,5.12E+11,2000,0,1
1826,1692520,5,2017,60,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
1827,1714952,4,2014,50,1,5.11E+11,5.11E+11,5.11E+11,4725,0,1
1828,773259,3,2017,41,1,5.12E+11,5.12E+11,5.12E+11,3558,0,1
1829,1861112,6,2017,55,3,5.11E+11,5.11E+11,5.11E+11,1089.729019,0,1
1830,670183,5,2017,29,1,5.13E+11,5.13E+11,5.13E+11,1089.729019,0,1
1831,883200,5,2015,21,1,5.12E+11,5.12E+11,5.12E+11,3268,0,1
1832,958366,6,2015,68,1,5.12E+11,5.12E+11,5.12E+11,1089.729019,0,1
