,id,per_num,year,ID_card,level,breed_year,equip_breed,land_year,land_size,channel,channel_num,sale_income,county_id,town_id,village_id,helper_unit,plan_time,help_industry,industrial_scale,tech_project,income,out_poverty,status
188,1104918,6,2014,56,1,,,,,,,,511304000000,511304113000,511304113207,,,,,,1089.7290192113246,1104918,1
189,933941,6,2016,66,1,,,,,,,,510525000000,510525203000,510525203208,县农业局石屏镇农技推广服务中心,2014,种养殖,养鸡100只,,3433.0,933941,1
190,858118,2,2015,76,2,,,,,,,,511902000000,511902101000,511902101220,,,,,,1089.7290192113246,858118,1
191,1874681,4,2017,50,1,,,,,,,,511725000000,511725243000,511725243201,,,,,,1089.7290192113246,1874681,1
192,1257856,6,2014,48,1,,,,,,,,510823000000,510823117000,510823117201,,2014年,,,,1089.7290192113246,1257856,-1
193,1066196,5,2014,46,1,,,,,,,,511903000000,511903208000,511903208203,,,,,,3470.0,1066196,1
194,1157420,6,2016,24,1,,,,,,,,511703000000,511703115000,511703115205,,,,,,1089.7290192113246,1157420,1
195,1377435,3,2014,26,1,,,,,,,,510823000000,510823221000,510823221205,,2014年,,,,1089.7290192113246,1377435,-1
196,1467238,7,2016,41,1,,,,,,,,510525000000,510525202000,510525202208,县农业局鱼化镇农服中心,2018,种养殖,养羊10只,,3164.0,1467238,1
197,1790615,3,2017,23,1,,,,,,,,511921000000,511921109000,511921109202,,,种植、养殖,,,1089.7290192113246,1790615,1
198,223491,2,2016,51,1,,,,,,,,513429000000,513429100000,513429100210,,,,,,1089.7290192113246,223491,1
199,487840,3,2017,30,1,,,,,,,,511129000000,511129102000,511129102200,,,,,,1089.7290192113246,487840,1
200,1040930,1,2016,65,1,,,,,,,,513333000000,513333204000,513333204210,下多村,2016,,,,1089.7290192113246,1040930,1
201,415635,1,2016,2,3,,,,,,,,513431000000,513431242000,513431242200,昭觉县水务局,,,,,1800.0,415635,1
202,1695174,5,2017,48,1,,,,,,,,511921000000,511921219000,511921219202,,,种养殖业,,,1089.7290192113246,1695174,1
203,122376,3,2014,65,2,,,,,,,,511321000000,511321209000,511321209209,,,,,,1089.7290192113246,122376,1
204,144568,3,2016,41,2,,,,,,,,510821000000,510821214000,510821214206,旺苍县大两乡农技站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,2850.0,144568,1
205,676649,2,2017,52,1,,,,,,,,513321000000,513321217000,513321217206,,,,,,1089.7290192113246,676649,1
206,228084,6,2016,17,1,,,,,,,,513429000000,513429224000,513429224201,,,,,,1089.7290192113246,228084,1
207,1836454,5,2017,20,3,,,,,,,,510522000000,510522201000,510522201203,,,,,,1089.7290192113246,1836454,1
208,130926,1,2014,43,2,,,,,,,,510821000000,510821219000,510821219200,旺苍县大德乡农技站,2018,养殖、核桃、中药材等,,四川省科技厅、县委、政府给与的科技项目,2900.0,130926,1
209,1584858,5,2014,48,1,,,,,,,,511528000000,511528105000,511528105214,,,,,,2804.0,1584858,1
210,1720045,2,2016,71,3,,,,,,,,511621000000,511621115000,511621115204,柏树嘴村,30/12/2017,种、养殖,家禽（畜）数只、水稻数亩,,2223.0,1720045,1
211,508909,5,2017,51,1,,,,,,,,511129000000,511129208000,511129208209,,,,,,1089.7290192113246,508909,1
212,1025983,3,2017,24,3,,,,,,,,510904000000,510904102000,510904102205,,,,,,1089.7290192113246,1025983,1
213,1148640,2,2016,72,1,,,,,,,,511703000000,511703235000,511703235201,,,,,,1089.7290192113246,1148640,1
214,1430255,5,2017,63,1,,,,,,,,510823000000,510823117000,510823117203,,未脱贫,,,,1089.7290192113246,1430255,1
215,1778379,4,2016,45,1,,,,,,,,513227000000,513227216000,513227216203,,,,,,1089.7290192113246,1778379,1
216,1171005,7,2016,8,2,,,,,,,,513332000000,513332214000,513332214208,,,,,,3114.0,1171005,1
217,516231,3,2017,49,1,,,,,,,,511129000000,511129206000,511129206204,,,,,,1089.7290192113246,516231,1
218,1401264,4,2014,56,1,,,,,,,,511724000000,511724114000,511724114203,,,,,,1089.7290192113246,1401264,1
219,1207131,2,2016,83,1,,,,,,,,511702000000,511702200000,511702200208,,2017,,,,1089.7290192113246,1207131,1
220,882885,5,2014,86,1,,,,,,,,511921000000,511921103000,511921103203,,,,,,3180.0,882885,1
221,34827,4,2014,66,2,,,,,,,,510824000000,510824113000,510824113204,,,,,,1089.7290192113246,34827,1
222,1891386,7,2014,61,3,,,,,,,,510524000000,510524209000,510524209231,,,,,,1089.7290192113246,1891386,1
223,1061834,3,2015,55,1,,,,,,,,511903000000,511903203000,511903203211,,2015,,,,3250.0,1061834,1
224,1196477,4,2017,39,3,,,,,,,,513335000000,513335216000,513335216201,,,,,,3632.0,1196477,1
