"id","name","score","character","appointment","history","stickiness","relations","analyze"
1564932,"abc",594,0.58,0.72,0.7,0.81,0.64,NULL
634911,"abc",594,0.52,0.65,0.6,0.81,0.62,NULL
939651,"abc",594,0.6864,0.65,0.6,0.81,0.62,NULL
637598,"abc",594,0.8,0.65,0.6,0.81,0.56,NULL
1671370,"abc",594,0.52,0.65,0.6,0.81,0.62,NULL
1774062,"abc",594,0.52,0.65,0.6,0.81,0.62,NULL
1760759,"abc",594,0.6,0.65,0.6,0.81,0.74,NULL
1727231,"abc",594,0.58,0.72,0.7,0.81,0.64,NULL
1597195,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
612887,"abc",593,0.6,0.65,0.6,0.81,0.74,NULL
1171480,"abc",593,0.8216,0.72,0.7,0.57,0.58,NULL
1629235,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
151132,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
936048,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
439171,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
142216,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
783781,"abc",593,0.66,0.72,0.7,0.57,0.76,NULL
953526,"abc",593,0.5968,0.65,0.6,0.81,0.62,NULL
135376,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
171260,"abc",593,0.52,0.65,0.6,0.81,0.62,NULL
1822990,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
959316,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
1046625,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
1678690,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
887910,"abc",592,0.7632,0.65,0.6,0.57,0.62,NULL
169359,"abc",592,0.6,0.65,0.6,0.81,0.74,NULL
147098,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
773027,"abc",592,0.58,0.72,0.7,0.57,0.64,NULL
644797,"abc",592,0.58,0.72,0.7,0.57,0.64,NULL
687055,"abc",592,0.7232,0.65,0.6,0.81,0.56,NULL
1049046,"abc",592,0.6224,0.65,0.6,0.81,0.62,NULL
421854,"abc",592,0.52,0.65,0.6,0.81,0.62,NULL
1644258,"abc",592,0.58,0.72,0.7,0.81,0.64,NULL
1069304,"abc",592,0.58,0.72,0.7,0.57,0.64,NULL
554492,"abc",592,0.6,0.65,0.6,0.81,0.74,NULL
1610763,"abc",591,0.5584,0.65,0.6,0.81,0.62,NULL
630028,"abc",591,0.6,0.65,0.6,0.81,0.74,NULL
1716495,"abc",591,0.52,0.65,0.6,0.81,0.62,NULL
937277,"abc",591,0.58,0.72,0.7,0.81,0.64,NULL
871486,"abc",591,0.58,0.72,0.7,0.57,0.64,NULL
606579,"abc",591,0.52,0.65,0.6,0.81,0.62,NULL
759234,"abc",591,0.7632,0.65,0.6,0.57,0.62,NULL
1515461,"abc",591,0.52,0.65,0.6,0.81,0.62,NULL
130508,"abc",591,0.52,0.65,0.6,0.81,0.62,NULL
110809,"abc",591,0.8272,0.65,0.6,0.57,0.62,NULL
967172,"abc",590,0.7504,0.65,0.6,0.81,0.62,NULL
632365,"abc",590,0.6,0.65,0.6,0.81,0.74,NULL
439126,"abc",590,0.648,0.65,0.6,0.81,0.62,NULL
632178,"abc",590,0.6,0.65,0.6,0.81,0.74,NULL
144520,"abc",590,0.7744,0.65,0.6,0.81,0.56,NULL
437415,"abc",590,0.52,0.65,0.6,0.81,0.62,NULL
553913,"abc",590,0.6,0.65,0.6,0.81,0.74,NULL
1612525,"abc",590,0.52,0.65,0.6,0.81,0.62,NULL
1739765,"abc",590,0.6,0.65,0.6,0.81,0.74,NULL
1634857,"abc",589,0.52,0.65,0.6,0.81,0.62,NULL
937260,"abc",589,0.7616,0.65,0.6,0.81,0.56,NULL
1822006,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
1597527,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
837247,"abc",589,0.52,0.65,0.6,0.81,0.62,NULL
423552,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
433293,"abc",589,0.52,0.65,0.6,0.81,0.62,NULL
1618829,"abc",589,0.712,0.65,0.6,0.81,0.62,NULL
688284,"abc",589,0.52,0.65,0.6,0.81,0.62,NULL
563870,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
805799,"abc",589,0.6,0.65,0.6,0.81,0.74,NULL
